"","GEOID","percent","pop_size","demographic","percent_final"
"43744","6073013324",0.078,177.216,"Asian",0.078
"43745","6073013325",0.174,1004.502,"Asian",0.174
"43746","6073013326",0.459,1830.951,"Asian",0.459
"43747","6073013327",0.488,3240.808,"Asian",0.488
"43748","6073013401",0.036,159.048,"Asian",0.036
"43749","6073013409",0.104,617.552,"Asian",0.104
"43750","6073013411",0.155,751.44,"Asian",0.155
"43751","6073013412",0.125,592.875,"Asian",0.125
"43752","6073013414",0.169,1334.762,"Asian",0.169
"43753","6073013415",0.113,141.137,"Asian",0.113
"43754","6073013416",0.156,672.36,"Asian",0.156
"43755","6073013417",0.175,362.25,"Asian",0.175
"43756","6073013418",0.108,688.392,"Asian",0.108
"43757","6073013420",0.294,947.856,"Asian",0.294
"43758","6073013421",0.279,1141.668,"Asian",0.279
"43759","6073013422",0.111,437.451,"Asian",0.111
"43760","6073013423",0.199,628.243,"Asian",0.199
"43761","6073013424",0.129,873.201,"Asian",0.129
"43762","6073013425",0.105,198.975,"Asian",0.105
"43763","6073013503",0.032,197.728,"Asian",0.032
"43764","6073013504",0.131,519.415,"Asian",0.131
"43765","6073013505",0.058,376.072,"Asian",0.058
"43766","6073013506",0.066,274.428,"Asian",0.066
"43767","6073013601",0.039,234.234,"Asian",0.039
"43768","6073013604",0.043,263.848,"Asian",0.043
"43769","6077003214",0.149,408.707,"Asian",0.149
"43770","6077003215",0.127,505.46,"Asian",0.127
"43771","6077003216",0.153,575.892,"Asian",0.153
"43772","6077003217",0.171,617.652,"Asian",0.171
"43773","6077003218",0.335,1003.325,"Asian",0.335
"43774","6077003219",0.435,4388.715,"Asian",0.435
"43775","6077003305",0.068,354.28,"Asian",0.068
"43776","6077003306",0.118,636.492,"Asian",0.118
"43777","6077003307",0.221,1047.098,"Asian",0.221
"43778","6077003308",0.153,254.286,"Asian",0.153
"43779","6077003310",0.25,1300,"Asian",0.25
"43780","6077003311",0.144,588.384,"Asian",0.144
"43781","6077003312",0.148,442.224,"Asian",0.148
"43782","6077003313",0.241,674.559,"Asian",0.241
"43783","6077003403",0.32,1659.2,"Asian",0.32
"43784","6077003404",0.265,1755.625,"Asian",0.265
"43785","6077003405",0.448,2157.12,"Asian",0.448
"43786","6077003406",0.268,1055.92,"Asian",0.268
"43787","6077003407",0.206,562.38,"Asian",0.206
"43788","6077003409",0.368,1403.92,"Asian",0.368
"43789","6077003410",0.339,2241.807,"Asian",0.339
"43790","6077003501",0.025,53.65,"Asian",0.025
"43791","6077003502",0,0,"Asian",0
"43792","6077003503",0.554,5194.304,"Asian",0.554
"43793","6077003504",0.395,3369.745,"Asian",0.395
"43794","6077003601",0.074,231.694,"Asian",0.074
"43795","6077003602",0.009,36.837,"Asian",0.009
"43796","6077003700",0.003,10.332,"Asian",0.003
"43797","6077003803",0.079,529.695,"Asian",0.079
"43798","6077003804",0.22,1297.78,"Asian",0.22
"43799","6077003805",0.223,644.247,"Asian",0.223
"43800","6077003806",0.185,740,"Asian",0.185
"43801","6077003807",0.221,565.76,"Asian",0.221
"43802","6077003808",0.235,1135.99,"Asian",0.235
"43803","6077003900",0.032,47.072,"Asian",0.032
"43804","6077004001",0.051,105.162,"Asian",0.051
"43805","6077004003",0.286,1383.668,"Asian",0.286
"43806","6077003213",0.247,1262.664,"Asian",0.247
"43807","6077004004",0.334,2419.162,"Asian",0.334
"43808","6077004104",0.07,267.4,"Asian",0.07
"43809","6077004105",0.011,60.269,"Asian",0.011
"43810","6077004106",0.092,215.372,"Asian",0.092
"43811","6077004107",0.073,241.995,"Asian",0.073
"43812","6077004108",0.521,3726.713,"Asian",0.521
"43813","6085506605",0.234,1017.198,"Asian",0.234
"43814","6085506606",0.298,1536.786,"Asian",0.298
"43815","6085506701",0.383,1670.646,"Asian",0.383
"43816","6085506702",0.245,1432.025,"Asian",0.245
"43817","6085506703",0.29,1067.78,"Asian",0.29
"43818","6085506801",0.137,818.849,"Asian",0.137
"43819","6085506802",0.301,1793.659,"Asian",0.301
"43820","6085506803",0.315,2215.395,"Asian",0.315
"43821","6085506804",0.268,1240.572,"Asian",0.268
"43822","6085506900",0.158,1266.054,"Asian",0.158
"43823","6085507002",0.104,370.136,"Asian",0.104
"43824","6085507003",0.141,418.629,"Asian",0.141
"43825","6085507004",0.125,454.875,"Asian",0.125
"43826","6085507100",0.092,307.924,"Asian",0.092
"43827","6085507203",0.202,684.982,"Asian",0.202
"43828","6085507205",0.233,1117.701,"Asian",0.233
"43829","6085507206",0.186,488.808,"Asian",0.186
"43830","6085507301",0.467,3137.306,"Asian",0.467
"43831","6085507302",0.305,779.58,"Asian",0.305
"43832","6085507401",0.648,3814.128,"Asian",0.648
"43833","6085507402",0.284,1178.6,"Asian",0.284
"43834","6085507500",0.644,3850.476,"Asian",0.644
"43835","6085507600",0.456,2772.024,"Asian",0.456
"43836","6085507701",0.675,2386.125,"Asian",0.675
"43837","6085507702",0.808,5553.384,"Asian",0.808
"43838","6085507704",0.549,1939.617,"Asian",0.549
"43839","6085507705",0.592,2503.568,"Asian",0.592
"43840","6085507805",0.63,3256.47,"Asian",0.63
"43841","6085507806",0.832,5023.616,"Asian",0.832
"43842","6085507807",0.764,2644.968,"Asian",0.764
"43843","6085507808",0.78,4533.36,"Asian",0.78
"43844","6085507903",0.792,4295.808,"Asian",0.792
"43845","6085507904",0.705,2127.69,"Asian",0.705
"43846","6085507905",0.708,3687.972,"Asian",0.708
"43847","6085507906",0.769,3391.29,"Asian",0.769
"43848","6085508003",0.56,1395.52,"Asian",0.56
"43849","6085508004",0.594,3339.468,"Asian",0.594
"43850","6085506604",0.45,3374.1,"Asian",0.45
"43851","6085508005",0.691,2521.459,"Asian",0.691
"43852","6085508006",0.693,2777.544,"Asian",0.693
"43853","6085508101",0.674,4395.828,"Asian",0.674
"43854","6085508102",0.596,2009.116,"Asian",0.596
"43855","6085508203",0.568,3379.6,"Asian",0.568
"43856","6107000501",0.009,62.64,"Asian",0.009
"43857","6107000502",0.002,9.164,"Asian",0.002
"43858","6107000600",0.004,27.276,"Asian",0.004
"43859","6107000701",0,0,"Asian",0
"43860","6107000702",0.028,162.624,"Asian",0.028
"43861","6107000801",0,0,"Asian",0
"43862","6107000802",0,0,"Asian",0
"43863","6107000901",0.043,270.47,"Asian",0.043
"43864","6107000902",0.004,14.6,"Asian",0.004
"43865","6107001005",0.058,167.214,"Asian",0.058
"43866","6107001006",0.023,120.221,"Asian",0.023
"43867","6107001007",0.051,277.032,"Asian",0.051
"43868","6107001008",0.073,319.156,"Asian",0.073
"43869","6107001009",0.218,887.042,"Asian",0.218
"43870","6107001010",0.166,684.252,"Asian",0.166
"43871","6107001011",0.188,1368.64,"Asian",0.188
"43872","6107001012",0.03,296.61,"Asian",0.03
"43873","6107001101",0.148,353.72,"Asian",0.148
"43874","6107001102",0.1,464.3,"Asian",0.1
"43875","6107001200",0.038,48.488,"Asian",0.038
"43876","6107001303",0.004,19.256,"Asian",0.004
"43877","6107001304",0.108,496.8,"Asian",0.108
"43878","6107001305",0.118,326.388,"Asian",0.118
"43879","6107001306",0.014,93.1,"Asian",0.014
"43880","6107001400",0.003,13.551,"Asian",0.003
"43881","6107001501",0.056,297.248,"Asian",0.056
"43882","6107001502",0.003,17.205,"Asian",0.003
"43883","6107001601",0.002,11.22,"Asian",0.002
"43884","6107001602",0.001,5.503,"Asian",0.001
"43885","6107001701",0.027,148.689,"Asian",0.027
"43886","6107001703",0.025,199.8,"Asian",0.025
"43887","6107001705",0.075,255.825,"Asian",0.075
"43888","6107001706",0.032,149.088,"Asian",0.032
"43889","6107001800",0.056,277.872,"Asian",0.056
"43890","6107001901",0.015,55.98,"Asian",0.015
"43891","6107001902",0.03,133.17,"Asian",0.03
"43892","6107002002",0,0,"Asian",0
"43893","6107000402",0,0,"Asian",0
"43894","6107002003",0.003,18.42,"Asian",0.003
"43895","6107002004",0.025,130.35,"Asian",0.025
"43896","6107002006",0.056,259.168,"Asian",0.056
"43897","6107002008",0.027,83.241,"Asian",0.027
"43898","6107002009",0.016,81.872,"Asian",0.016
"43899","6107002010",0.034,199.478,"Asian",0.034
"43900","6107002011",0.08,254.8,"Asian",0.08
"43901","6001450742",0.264,1416.36,"Asian",0.264
"43902","6001450743",0.573,4146.228,"Asian",0.573
"43903","6001450744",0.333,1970.028,"Asian",0.333
"43904","6001450745",0.603,3903.219,"Asian",0.603
"43905","6001450746",0.237,782.574,"Asian",0.237
"43906","6001450750",0.622,4120.75,"Asian",0.622
"43907","6001450751",0.807,10248.9,"Asian",0.807
"43908","6001450752",0.646,5759.09,"Asian",0.646
"43909","6001451102",0.084,333.732,"Asian",0.084
"43910","6001451103",0.034,53.992,"Asian",0.034
"43911","6001451104",0.25,1788.5,"Asian",0.25
"43912","6001451201",0.145,1096.635,"Asian",0.145
"43913","6001451202",0.271,1498.359,"Asian",0.271
"43914","6001451300",0.084,543.732,"Asian",0.084
"43915","6001451401",0.099,635.184,"Asian",0.099
"43916","6001451403",0.1,219.5,"Asian",0.1
"43917","6001451404",0.042,290.766,"Asian",0.042
"43918","6001451501",0.085,381.31,"Asian",0.085
"43919","6001451503",0.139,809.258,"Asian",0.139
"43920","6001451504",0.237,375.645,"Asian",0.237
"43921","6001451505",0.145,497.93,"Asian",0.145
"43922","6001451506",0.084,283.836,"Asian",0.084
"43923","6001451601",0.097,515.458,"Asian",0.097
"43924","6001451602",0.079,550.393,"Asian",0.079
"43925","6001451701",0.136,419.968,"Asian",0.136
"43926","6001451703",0.185,740.925,"Asian",0.185
"43927","6001451704",0.091,389.662,"Asian",0.091
"43928","6001981900",0,0,"Asian",0
