"","GEOID","demographic","percent","pop_size"
"222","37007980000","Black",0.49,636.02
"223","37007980000","Other",0.13,168.74
"224","37007980000","White",0.342,443.916
"225","37009970200","Asian",0,0
"226","37009970200","Black",0,0
"227","37009970200","Other",0.081,234.738
"228","37009970200","White",0.919,2663.262
"229","37009970300","Asian",0.032,74.72
"230","37009970300","Black",0,0
"231","37009970300","Other",0.022,51.37
"232","37009970300","White",0.945,2206.575
"233","37009970400","Asian",0.011,53.427
"234","37009970400","Black",0.002,9.714
"235","37009970400","Other",0.092,446.844
"236","37009970400","White",0.894,4342.158
"237","37009970501","Asian",0,0
"238","37009970501","Black",0.049,132.986
"239","37009970501","Other",0.071,192.694
"240","37009970501","White",0.88,2388.32
"241","37009970502","Asian",0,0
"242","37009970502","Black",0.01,28.68
"243","37009970502","Other",0.09,258.12
"244","37009970502","White",0.9,2581.2
"245","37009970701","Asian",0,0
"246","37009970701","Black",0,0
"247","37009970701","Other",0.038,139.574
"248","37009970701","White",0.962,3533.426
"249","37009970702","Asian",0,0
"250","37009970702","Black",0.008,14.28
"251","37009970702","Other",0.05,89.25
"252","37009970702","White",0.941,1679.685
"253","37009970801","Asian",0,0
"254","37009970801","Black",0,0
"255","37009970801","Other",0.054,113.292
"256","37009970801","White",0.946,1984.708
"257","37009970802","Asian",0.005,16.85
"258","37009970802","Black",0.003,10.11
"259","37009970802","Other",0.04,134.8
"260","37009970802","White",0.952,3208.24
"261","37011930100","Asian",0.009,33.858
"262","37011930100","Black",0.019,71.478
"263","37011930100","Other",0.08,300.96
"264","37011930100","White",0.893,3359.466
"265","37011930200","Asian",0.003,8.265
"266","37011930200","Black",0.012,33.06
"267","37011930200","Other",0.018,49.59
"268","37011930200","White",0.966,2661.33
"269","37011930301","Asian",0,0
"270","37011930301","Black",0.002,6.76
"271","37011930301","Other",0.078,263.64
"272","37011930301","White",0.92,3109.6
"273","37011930302","Asian",0.001,2.488
"274","37011930302","Black",0.002,4.976
"275","37011930302","Other",0.027,67.176
"276","37011930302","White",0.97,2413.36
"277","37011930400","Asian",0.006,32.172
"278","37011930400","Black",0.113,605.906
"279","37011930400","Other",0.089,477.218
"280","37011930400","White",0.791,4241.342
"281","37013930101","Asian",0,0
"282","37013930101","Black",0.168,578.256
"283","37013930101","Other",0.165,567.93
"284","37013930101","White",0.667,2295.814
"285","37013930102","Asian",0,0
"286","37013930102","Black",0.517,864.424
"287","37013930102","Other",0.069,115.368
"288","37013930102","White",0.414,692.208
"289","37013930200","Asian",0,0
"290","37013930200","Black",0.23,1392.88
"291","37013930200","Other",0.077,466.312
