"","School_District","demographic","children_5_17","percent_final","type"
"190","Charlotte Lab School","White",320,0.599250936329588,"charter"
"191","Charlotte Lab School","Asian",9,0.0168539325842697,"charter"
"192","Charlotte Lab School","Other",104,0.194756554307116,"charter"
"193","Charlotte Learning Academy","Black",237,0.861818181818182,"charter"
"194","Charlotte Learning Academy","White",3,0.0109090909090909,"charter"
"195","Charlotte Learning Academy","Asian",0,0,"charter"
"196","Charlotte Learning Academy","Other",35,0.127272727272727,"charter"
"197","Charlotte Secondary School","Black",170,0.453333333333333,"charter"
"198","Charlotte Secondary School","White",89,0.237333333333333,"charter"
"199","Charlotte Secondary School","Asian",3,0.008,"charter"
"200","Charlotte Secondary School","Other",113,0.301333333333333,"charter"
"201","Charlotte-Mecklenburg County Schools","Black",56204,0.381408668625601,"public"
"202","Charlotte-Mecklenburg County Schools","White",41315,0.280369709349276,"public"
"203","Charlotte-Mecklenburg County Schools","Asian",9761,0.0662395917453294,"public"
"204","Charlotte-Mecklenburg County Schools","Other",40079,0.271982030279793,"public"
"205","Charter Day School","Black",89,0.0934873949579832,"charter"
"206","Charter Day School","White",721,0.757352941176471,"charter"
"207","Charter Day School","Asian",12,0.0126050420168067,"charter"
"208","Charter Day School","Other",130,0.136554621848739,"charter"
"209","Chatham Charter","Black",57,0.102333931777379,"charter"
"210","Chatham Charter","White",442,0.793536804308797,"charter"
"211","Chatham Charter","Asian",2,0.00359066427289048,"charter"
"212","Chatham Charter","Other",56,0.100538599640934,"charter"
"213","Chatham County Schools","Black",1010,0.115204745066727,"public"
"214","Chatham County Schools","White",4478,0.510779057830501,"public"
"215","Chatham County Schools","Asian",104,0.0118626668187521,"public"
"216","Chatham County Schools","Other",3175,0.36215353028402,"public"
"217","Cherokee County Schools","Black",60,0.0185873605947955,"public"
"218","Cherokee County Schools","White",2769,0.857806691449814,"public"
"219","Cherokee County Schools","Asian",20,0.00619578686493185,"public"
"220","Cherokee County Schools","Other",379,0.117410161090458,"public"
"221","Children's Village Academy","Black",181,0.957671957671958,"charter"
"222","Children's Village Academy","White",0,0,"charter"
"223","Children's Village Academy","Asian",0,0,"charter"
"224","Children's Village Academy","Other",8,0.0423280423280423,"charter"
"225","Clay County Schools","Black",11,0.00857365549493375,"public"
"226","Clay County Schools","White",1131,0.881527669524552,"public"
"227","Clay County Schools","Asian",4,0.00311769290724864,"public"
"228","Clay County Schools","Other",137,0.106780982073266,"public"
"229","Cleveland County Schools","Black",3962,0.271723475756121,"public"
"230","Cleveland County Schools","White",8791,0.602907893834442,"public"
"231","Cleveland County Schools","Asian",115,0.00788697620190659,"public"
"232","Cleveland County Schools","Other",1713,0.11748165420753,"public"
"233","Clinton City Schools","Black",1121,0.373666666666667,"public"
"234","Clinton City Schools","White",767,0.255666666666667,"public"
"235","Clinton City Schools","Asian",24,0.008,"public"
"236","Clinton City Schools","Other",1088,0.362666666666667,"public"
"237","Clover Garden","Black",32,0.0487804878048781,"charter"
"238","Clover Garden","White",572,0.871951219512195,"charter"
"239","Clover Garden","Asian",1,0.00152439024390244,"charter"
"240","Clover Garden","Other",51,0.0777439024390244,"charter"
"241","Coastal Preparatory Academy","Black",7,0.0136986301369863,"charter"
"242","Coastal Preparatory Academy","White",445,0.870841487279843,"charter"
"243","Coastal Preparatory Academy","Asian",9,0.0176125244618395,"charter"
"244","Coastal Preparatory Academy","Other",50,0.0978473581213307,"charter"
"245","Columbus Charter School","Black",179,0.235526315789474,"charter"
"246","Columbus Charter School","White",482,0.634210526315789,"charter"
"247","Columbus Charter School","Asian",7,0.00921052631578947,"charter"
"248","Columbus Charter School","Other",92,0.121052631578947,"charter"
"249","Columbus County Schools","Black",1683,0.297612732095491,"public"
"250","Columbus County Schools","White",2943,0.520424403183024,"public"
"251","Columbus County Schools","Asian",5,0.000884173297966401,"public"
"252","Columbus County Schools","Other",1024,0.181078691423519,"public"
"253","Commonwealth High School","Black",162,0.630350194552529,"charter"
"254","Commonwealth High School","White",12,0.0466926070038911,"charter"
"255","Commonwealth High School","Asian",3,0.0116731517509728,"charter"
"256","Commonwealth High School","Other",80,0.311284046692607,"charter"
"257","Community School of Davidson","Black",57,0.0417276720351391,"charter"
"258","Community School of Davidson","White",1161,0.849926793557833,"charter"
"259","Community School of Davidson","Asian",36,0.0263543191800878,"charter"
"260","Community School of Davidson","Other",112,0.08199121522694,"charter"
"261","Cornerstone Charter Academy","Black",111,0.103641456582633,"charter"
"262","Cornerstone Charter Academy","White",813,0.759103641456583,"charter"
"263","Cornerstone Charter Academy","Asian",31,0.0289449112978525,"charter"
"264","Cornerstone Charter Academy","Other",116,0.108309990662932,"charter"
"265","Corvian Community School","Black",89,0.107878787878788,"charter"
"266","Corvian Community School","White",603,0.730909090909091,"charter"
"267","Corvian Community School","Asian",50,0.0606060606060606,"charter"
"268","Corvian Community School","Other",83,0.100606060606061,"charter"
"269","Craven County Schools","Black",3858,0.278878126355356,"public"
"270","Craven County Schools","White",7019,0.507373138643921,"public"
"271","Craven County Schools","Asian",611,0.044166546190545,"public"
"272","Craven County Schools","Other",2346,0.169582188810178,"public"
"273","Crosscreek Charter School","Black",26,0.118181818181818,"charter"
"274","Crosscreek Charter School","White",171,0.777272727272727,"charter"
"275","Crosscreek Charter School","Asian",0,0,"charter"
"276","Crosscreek Charter School","Other",23,0.104545454545455,"charter"
"277","Cumberland County Schools","Black",22578,0.450946712471039,"public"
"278","Cumberland County Schools","White",14555,0.290704641687305,"public"
"279","Cumberland County Schools","Asian",932,0.0186146840297196,"public"
"280","Cumberland County Schools","Other",12003,0.239733961811936,"public"
"281","Currituck County Schools","Black",188,0.0468010953447847,"public"
"282","Currituck County Schools","White",3229,0.803833706746328,"public"
"283","Currituck County Schools","Asian",17,0.00423201394075181,"public"
"284","Currituck County Schools","Other",583,0.145133183968135,"public"
"285","Dare County Schools","Black",112,0.0217433508056688,"public"
"286","Dare County Schools","White",3918,0.760629004076878,"public"
"287","Dare County Schools","Asian",41,0.0079596194913609,"public"
"288","Dare County Schools","Other",1080,0.209668025626092,"public"
"289","Davidson County Schools","Black",696,0.0364607889360365,"public"
"290","Davidson County Schools","White",15766,0.825920687306826,"public"
"291","Davidson County Schools","Asian",224,0.0117345067840117,"public"
"292","Davidson County Schools","Other",2403,0.125884016973126,"public"
"293","Davie County Schools","Black",405,0.06591796875,"public"
"294","Davie County Schools","White",4510,0.734049479166667,"public"
"295","Davie County Schools","Asian",47,0.00764973958333333,"public"
"296","Davie County Schools","Other",1182,0.1923828125,"public"
"297","Dillard Academy","Black",250,0.909090909090909,"charter"
"298","Dillard Academy","White",13,0.0472727272727273,"charter"
"299","Dillard Academy","Asian",1,0.00363636363636364,"charter"
"300","Dillard Academy","Other",11,0.04,"charter"
"301","Douglass Academy","Black",157,0.877094972067039,"charter"
"302","Douglass Academy","White",3,0.0167597765363128,"charter"
"303","Douglass Academy","Asian",0,0,"charter"
"304","Douglass Academy","Other",19,0.106145251396648,"charter"
"305","Duplin County Schools","Black",2156,0.223790741125182,"public"
"306","Duplin County Schools","White",3193,0.331430350840772,"public"
"307","Duplin County Schools","Asian",32,0.00332156944156114,"public"
"308","Duplin County Schools","Other",4253,0.441457338592485,"public"
"309","Durham County Schools","Black",14804,0.447629414610547,"public"
"310","Durham County Schools","White",6226,0.188255926463474,"public"
"311","Durham County Schools","Asian",744,0.0224963715529753,"public"
"312","Durham County Schools","Other",11298,0.341618287373004,"public"
"313","East Carolina Laboratory School","Black",69,0.958333333333333,"charter"
"314","East Carolina Laboratory School","White",2,0.0277777777777778,"charter"
"315","East Carolina Laboratory School","Asian",0,0,"charter"
"316","East Carolina Laboratory School","Other",1,0.0138888888888889,"charter"
"317","East Wake Academy","Black",93,0.0792163543441227,"charter"
"318","East Wake Academy","White",952,0.810902896081772,"charter"
"319","East Wake Academy","Asian",7,0.00596252129471891,"charter"
"320","East Wake Academy","Other",122,0.103918228279387,"charter"
"321","Edenton-Chowan County Schools","Black",887,0.45116988809766,"public"
"322","Edenton-Chowan County Schools","White",872,0.44354018311292,"public"
"323","Edenton-Chowan County Schools","Asian",6,0.00305188199389624,"public"
"324","Edenton-Chowan County Schools","Other",201,0.102238046795524,"public"
"325","Edgecombe County Schools","Black",3313,0.560765064319567,"public"
"326","Edgecombe County Schools","White",1800,0.30467163168585,"public"
"327","Edgecombe County Schools","Asian",8,0.001354096140826,"public"
"328","Edgecombe County Schools","Other",787,0.133209207853758,"public"
"329","Elkin City Schools","Black",44,0.0375747224594364,"public"
"330","Elkin City Schools","White",832,0.710503842869342,"public"
"331","Elkin City Schools","Asian",10,0.0085397096498719,"public"
"332","Elkin City Schools","Other",285,0.243381725021349,"public"
"333","Emereau: Bladen","Black",68,0.219354838709677,"charter"
"334","Emereau: Bladen","White",216,0.696774193548387,"charter"
"335","Emereau: Bladen","Asian",1,0.0032258064516129,"charter"
"336","Emereau: Bladen","Other",25,0.0806451612903226,"charter"
"337","Endeavor Charter","Black",26,0.050880626223092,"charter"
"338","Endeavor Charter","White",427,0.835616438356164,"charter"
"339","Endeavor Charter","Asian",22,0.0430528375733855,"charter"
"340","Endeavor Charter","Other",36,0.0704500978473581,"charter"
"341","Envision Science Academy","Black",116,0.173652694610778,"charter"
"342","Envision Science Academy","White",443,0.663173652694611,"charter"
"343","Envision Science Academy","Asian",20,0.029940119760479,"charter"
"344","Envision Science Academy","Other",89,0.133233532934132,"charter"
"345","Evergreen Community Charter","Black",6,0.0136054421768707,"charter"
"346","Evergreen Community Charter","White",399,0.904761904761905,"charter"
"347","Evergreen Community Charter","Asian",0,0,"charter"
"348","Evergreen Community Charter","Other",36,0.0816326530612245,"charter"
"349","Excelsior Classical Academy","Black",115,0.240585774058577,"charter"
"350","Excelsior Classical Academy","White",266,0.556485355648536,"charter"
"351","Excelsior Classical Academy","Asian",8,0.0167364016736402,"charter"
"352","Excelsior Classical Academy","Other",89,0.186192468619247,"charter"
"353","Falls Lake Academy","Black",103,0.107853403141361,"charter"
"354","Falls Lake Academy","White",726,0.76020942408377,"charter"
"355","Falls Lake Academy","Asian",7,0.00732984293193717,"charter"
"356","Falls Lake Academy","Other",119,0.124607329842932,"charter"
"357","FernLeaf Community Charter School","Black",5,0.0222222222222222,"charter"
"358","FernLeaf Community Charter School","White",191,0.848888888888889,"charter"
"359","FernLeaf Community Charter School","Asian",4,0.0177777777777778,"charter"
"360","FernLeaf Community Charter School","Other",25,0.111111111111111,"charter"
"361","Flemington Academy","Black",21,0.214285714285714,"charter"
"362","Flemington Academy","White",56,0.571428571428571,"charter"
"363","Flemington Academy","Asian",0,0,"charter"
"364","Flemington Academy","Other",21,0.214285714285714,"charter"
"365","Forsyth Academy","Black",319,0.443671766342142,"charter"
"366","Forsyth Academy","White",76,0.105702364394993,"charter"
"367","Forsyth Academy","Asian",4,0.00556328233657858,"charter"
"368","Forsyth Academy","Other",320,0.445062586926287,"charter"
"369","Forsyth County Schools","Black",15638,0.286777920410783,"public"
"370","Forsyth County Schools","White",20778,0.381037960755547,"public"
"371","Forsyth County Schools","Asian",1407,0.0258023106546855,"public"
"372","Forsyth County Schools","Other",16707,0.306381808178984,"public"
"373","Francine Delany New School","Black",47,0.265536723163842,"charter"
"374","Francine Delany New School","White",92,0.519774011299435,"charter"
"375","Francine Delany New School","Asian",6,0.0338983050847458,"charter"
"376","Francine Delany New School","Other",32,0.180790960451977,"charter"
"377","Franklin Academy","Black",77,0.0469798657718121,"charter"
"378","Franklin Academy","White",1373,0.837705918242831,"charter"
"379","Franklin Academy","Asian",52,0.0317266625991458,"charter"
"380","Franklin Academy","Other",137,0.0835875533862111,"charter"
"381","Franklin County Schools","Black",2501,0.305970149253731,"public"
"382","Franklin County Schools","White",3672,0.449229263518473,"public"
"383","Franklin County Schools","Asian",51,0.00623929532664546,"public"
"384","Franklin County Schools","Other",1950,0.23856129190115,"public"
"385","Gaston College Preparatory","Black",957,0.774271844660194,"charter"
"386","Gaston College Preparatory","White",149,0.120550161812298,"charter"
"387","Gaston College Preparatory","Asian",17,0.0137540453074434,"charter"
"388","Gaston College Preparatory","Other",113,0.0914239482200647,"charter"
"389","Gaston County Schools","Black",7018,0.222229259024699,"public"
"390","Gaston County Schools","White",18368,0.581633945535149,"public"
"391","Gaston County Schools","Asian",466,0.0147561747941735,"public"
"392","Gaston County Schools","Other",5728,0.181380620645978,"public"
"393","Gate City Charter Academy","Black",435,0.732323232323232,"charter"
"394","Gate City Charter Academy","White",55,0.0925925925925926,"charter"
"395","Gate City Charter Academy","Asian",6,0.0101010101010101,"charter"
"396","Gate City Charter Academy","Other",98,0.164983164983165,"charter"
"397","Gates County Schools","Black",508,0.307692307692308,"public"
"398","Gates County Schools","White",1020,0.617807389460933,"public"
"399","Gates County Schools","Asian",4,0.00242277407631738,"public"
"400","Gates County Schools","Other",119,0.0720775287704422,"public"
"401","Girls Leadership Academy of Wilmington","Black",102,0.51,"charter"
"402","Girls Leadership Academy of Wilmington","White",64,0.32,"charter"
"403","Girls Leadership Academy of Wilmington","Asian",1,0.005,"charter"
"404","Girls Leadership Academy of Wilmington","Other",33,0.165,"charter"
"405","Global Scholars Academy","Black",125,0.58411214953271,"charter"
"406","Global Scholars Academy","White",0,0,"charter"
"407","Global Scholars Academy","Asian",0,0,"charter"
"408","Global Scholars Academy","Other",89,0.41588785046729,"charter"
"409","Graham County Schools","Black",3,0.0026246719160105,"public"
"410","Graham County Schools","White",888,0.776902887139108,"public"
"411","Graham County Schools","Asian",5,0.00437445319335083,"public"
"412","Graham County Schools","Other",247,0.216097987751531,"public"
"413","Grandfather Academy","Black",1,0.0454545454545455,"charter"
"414","Grandfather Academy","White",16,0.727272727272727,"charter"
"415","Grandfather Academy","Asian",0,0,"charter"
"416","Grandfather Academy","Other",5,0.227272727272727,"charter"
"417","Granville County Schools","Black",2574,0.343474779823859,"public"
"418","Granville County Schools","White",3230,0.431011475847345,"public"
"419","Granville County Schools","Asian",47,0.00627168401387777,"public"
"420","Granville County Schools","Other",1643,0.219242060314919,"public"
