location,report_date,value,demographic,target
37,2020-03-28,31,Asian,imputed inc case 
37,2020-04-04,40,Asian,imputed inc case 
37,2020-04-11,43,Asian,imputed inc case 
37,2020-04-18,35,Asian,imputed inc case 
37,2020-04-25,99,Asian,imputed inc case 
37,2020-05-02,131,Asian,imputed inc case 
37,2020-05-09,159,Asian,imputed inc case 
37,2020-05-16,214,Asian,imputed inc case 
37,2020-05-23,268,Asian,imputed inc case 
37,2020-05-30,272,Asian,imputed inc case 
37,2020-06-06,391,Asian,imputed inc case 
37,2020-06-13,495,Asian,imputed inc case 
37,2020-06-20,530,Asian,imputed inc case 
37,2020-06-27,622,Asian,imputed inc case 
37,2020-07-04,551,Asian,imputed inc case 
37,2020-07-11,632,Asian,imputed inc case 
37,2020-07-18,489,Asian,imputed inc case 
37,2020-07-25,401,Asian,imputed inc case 
37,2020-08-01,372,Asian,imputed inc case 
37,2020-08-08,347,Asian,imputed inc case 
37,2020-08-15,348,Asian,imputed inc case 
37,2020-08-22,524,Asian,imputed inc case 
37,2020-08-29,463,Asian,imputed inc case 
37,2020-09-05,368,Asian,imputed inc case 
37,2020-09-12,290,Asian,imputed inc case 
37,2020-09-19,321,Asian,imputed inc case 
37,2020-09-26,303,Asian,imputed inc case 
37,2020-10-03,327,Asian,imputed inc case 
37,2020-10-10,356,Asian,imputed inc case 
37,2020-10-17,391,Asian,imputed inc case 
37,2020-10-24,472,Asian,imputed inc case 
37,2020-10-31,463,Asian,imputed inc case 
37,2020-11-07,533,Asian,imputed inc case 
37,2020-11-14,687,Asian,imputed inc case 
37,2020-11-21,757,Asian,imputed inc case 
37,2020-11-28,766,Asian,imputed inc case 
37,2020-12-05,1439,Asian,imputed inc case 
37,2020-12-12,1452,Asian,imputed inc case 
37,2020-12-19,1537,Asian,imputed inc case 
37,2020-12-26,1328,Asian,imputed inc case 
37,2021-01-02,2070,Asian,imputed inc case 
37,2021-01-09,2605,Asian,imputed inc case 
37,2021-01-16,1873,Asian,imputed inc case 
37,2021-01-23,1518,Asian,imputed inc case 
37,2021-01-30,1318,Asian,imputed inc case 
37,2021-02-06,1024,Asian,imputed inc case 
37,2021-02-13,791,Asian,imputed inc case 
37,2021-02-20,604,Asian,imputed inc case 
37,2021-02-27,505,Asian,imputed inc case 
37,2021-03-06,421,Asian,imputed inc case 
37,2021-03-13,439,Asian,imputed inc case 
37,2021-03-20,469,Asian,imputed inc case 
37,2021-03-27,393,Asian,imputed inc case 
37,2021-04-03,347,Asian,imputed inc case 
37,2020-03-07,1,Black,imputed inc case 
37,2020-03-14,30,Black,imputed inc case 
37,2020-03-21,230,Black,imputed inc case 
37,2020-03-28,410,Black,imputed inc case 
37,2020-04-04,553,Black,imputed inc case 
37,2020-04-11,686,Black,imputed inc case 
37,2020-04-18,884,Black,imputed inc case 
37,2020-04-25,1006,Black,imputed inc case 
37,2020-05-02,787,Black,imputed inc case 
37,2020-05-09,990,Black,imputed inc case 
37,2020-05-16,1019,Black,imputed inc case 
37,2020-05-23,1299,Black,imputed inc case 
37,2020-05-30,1360,Black,imputed inc case 
37,2020-06-06,1899,Black,imputed inc case 
37,2020-06-13,2182,Black,imputed inc case 
37,2020-06-20,2481,Black,imputed inc case 
37,2020-06-27,3181,Black,imputed inc case 
37,2020-07-04,3510,Black,imputed inc case 
37,2020-07-11,4179,Black,imputed inc case 
37,2020-07-18,3964,Black,imputed inc case 
37,2020-07-25,3518,Black,imputed inc case 
37,2020-08-01,3120,Black,imputed inc case 
37,2020-08-08,2620,Black,imputed inc case 
37,2020-08-15,2562,Black,imputed inc case 
37,2020-08-22,2649,Black,imputed inc case 
37,2020-08-29,2864,Black,imputed inc case 
37,2020-09-05,2400,Black,imputed inc case 
37,2020-09-12,2100,Black,imputed inc case 
37,2020-09-19,2424,Black,imputed inc case 
37,2020-09-26,2506,Black,imputed inc case 
37,2020-10-03,2841,Black,imputed inc case 
37,2020-10-10,2916,Black,imputed inc case 
37,2020-10-17,3532,Black,imputed inc case 
37,2020-10-24,3891,Black,imputed inc case 
37,2020-10-31,3602,Black,imputed inc case 
37,2020-11-07,4067,Black,imputed inc case 
37,2020-11-14,5453,Black,imputed inc case 
37,2020-11-21,5857,Black,imputed inc case 
37,2020-11-28,5493,Black,imputed inc case 
37,2020-12-05,9878,Black,imputed inc case 
37,2020-12-12,10063,Black,imputed inc case 
37,2020-12-19,10385,Black,imputed inc case 
37,2020-12-26,8217,Black,imputed inc case 
37,2021-01-02,13067,Black,imputed inc case 
37,2021-01-09,15236,Black,imputed inc case 
37,2021-01-16,12619,Black,imputed inc case 
37,2021-01-23,10733,Black,imputed inc case 
37,2021-01-30,9013,Black,imputed inc case 
37,2021-02-06,7069,Black,imputed inc case 
37,2021-02-13,5680,Black,imputed inc case 
37,2021-02-20,4358,Black,imputed inc case 
37,2021-02-27,3699,Black,imputed inc case 
37,2021-03-06,2942,Black,imputed inc case 
37,2021-03-13,2642,Black,imputed inc case 
37,2021-03-20,2866,Black,imputed inc case 
37,2021-03-27,3155,Black,imputed inc case 
37,2021-04-03,3146,Black,imputed inc case 
37,2020-03-07,0,Other,imputed inc case 
37,2020-03-14,7,Other,imputed inc case 
37,2020-03-21,39,Other,imputed inc case 
37,2020-03-28,74,Other,imputed inc case 
37,2020-04-04,98,Other,imputed inc case 
37,2020-04-11,169,Other,imputed inc case 
37,2020-04-18,259,Other,imputed inc case 
37,2020-04-25,412,Other,imputed inc case 
37,2020-05-02,483,Other,imputed inc case 
37,2020-05-09,587,Other,imputed inc case 
37,2020-05-16,745,Other,imputed inc case 
37,2020-05-23,989,Other,imputed inc case 
37,2020-05-30,1291,Other,imputed inc case 
37,2020-06-06,1828,Other,imputed inc case 
37,2020-06-13,1888,Other,imputed inc case 
37,2020-06-20,1798,Other,imputed inc case 
37,2020-06-27,1944,Other,imputed inc case 
37,2020-07-04,1972,Other,imputed inc case 
37,2020-07-11,2207,Other,imputed inc case 
37,2020-07-18,2226,Other,imputed inc case 
37,2020-07-25,2087,Other,imputed inc case 
37,2020-08-01,1774,Other,imputed inc case 
37,2020-08-08,1410,Other,imputed inc case 
37,2020-08-15,1334,Other,imputed inc case 
37,2020-08-22,1554,Other,imputed inc case 
37,2020-08-29,1759,Other,imputed inc case 
37,2020-09-05,1410,Other,imputed inc case 
37,2020-09-12,1136,Other,imputed inc case 
37,2020-09-19,1056,Other,imputed inc case 
37,2020-09-26,1147,Other,imputed inc case 
37,2020-10-03,1511,Other,imputed inc case 
37,2020-10-10,1737,Other,imputed inc case 
37,2020-10-17,1853,Other,imputed inc case 
37,2020-10-24,1914,Other,imputed inc case 
37,2020-10-31,1876,Other,imputed inc case 
37,2020-11-07,2219,Other,imputed inc case 
37,2020-11-14,2805,Other,imputed inc case 
37,2020-11-21,3190,Other,imputed inc case 
37,2020-11-28,3005,Other,imputed inc case 
37,2020-12-05,5129,Other,imputed inc case 
